Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0114,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,20,C,3.0
19B81A0114,R1932012,WATER RESOURCES ENGINEERING-II,19,C,3.0
19B81A0114,R1932013,GEOTECHNICAL ENGINEERING-I,20,B,3.0
19B81A0114,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,25,C,3.0
19B81A0114,R1932015,CAD LAB,18,O,1.5
19B81A0114,R1932016,ENVIRONMENTAL ENGINEERING LAB,19,O,1.5
19B81A0114,R1932017,SOCIALLY RELEVANT PROJECT,17,O,1.0
19B81A0114,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0114,R193201A,PRE-STRESSED CONCRETE,21,B,3.0
19B81A0114,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,19,A,3.0
19B81A0115,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,15,F,0.0
19B81A0115,R1932012,WATER RESOURCES ENGINEERING-II,14,C,3.0
19B81A0115,R1932013,GEOTECHNICAL ENGINEERING-I,15,D,3.0
19B81A0115,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,21,F,0.0
19B81A0115,R1932015,CAD LAB,16,S,1.5
19B81A0115,R1932016,ENVIRONMENTAL ENGINEERING LAB,14,A,1.5
19B81A0115,R1932017,SOCIALLY RELEVANT PROJECT,18,S,1.0
19B81A0115,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0115,R193201A,PRE-STRESSED CONCRETE,13,D,3.0
19B81A0115,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,16,C,3.0
19B81A0116,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,14,F,0.0
19B81A0116,R1932012,WATER RESOURCES ENGINEERING-II,14,C,3.0
19B81A0116,R1932013,GEOTECHNICAL ENGINEERING-I,16,F,0.0
19B81A0116,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,21,C,3.0
19B81A0116,R1932015,CAD LAB,18,S,1.5
19B81A0116,R1932016,ENVIRONMENTAL ENGINEERING LAB,16,A,1.5
19B81A0116,R1932017,SOCIALLY RELEVANT PROJECT,17,S,1.0
19B81A0116,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0116,R193201A,PRE-STRESSED CONCRETE,14,D,3.0
19B81A0116,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,14,C,3.0
19B81A0117,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,14,C,3.0
19B81A0117,R1932012,WATER RESOURCES ENGINEERING-II,13,F,0.0
19B81A0117,R1932013,GEOTECHNICAL ENGINEERING-I,14,F,0.0
19B81A0117,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,20,F,0.0
19B81A0117,R1932015,CAD LAB,18,S,1.5
19B81A0117,R1932016,ENVIRONMENTAL ENGINEERING LAB,16,S,1.5
19B81A0117,R1932017,SOCIALLY RELEVANT PROJECT,17,S,1.0
19B81A0117,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0117,R193201A,PRE-STRESSED CONCRETE,13,D,3.0
19B81A0117,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,13,F,0.0
19B81A0118,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,15,F,0.0
19B81A0118,R1932012,WATER RESOURCES ENGINEERING-II,14,D,3.0
19B81A0118,R1932013,GEOTECHNICAL ENGINEERING-I,17,C,3.0
19B81A0118,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,22,C,3.0
19B81A0118,R1932015,CAD LAB,17,S,1.5
19B81A0118,R1932016,ENVIRONMENTAL ENGINEERING LAB,15,S,1.5
19B81A0118,R1932017,SOCIALLY RELEVANT PROJECT,16,S,1.0
19B81A0118,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0118,R193201A,PRE-STRESSED CONCRETE,17,C,3.0
19B81A0118,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,13,D,3.0
19B81A0119,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,15,D,3.0
19B81A0119,R1932012,WATER RESOURCES ENGINEERING-II,13,D,3.0
19B81A0119,R1932013,GEOTECHNICAL ENGINEERING-I,18,D,3.0
19B81A0119,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,23,F,0.0
19B81A0119,R1932015,CAD LAB,15,S,1.5
19B81A0119,R1932016,ENVIRONMENTAL ENGINEERING LAB,14,A,1.5
19B81A0119,R1932017,SOCIALLY RELEVANT PROJECT,17,S,1.0
19B81A0119,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0119,R193201A,PRE-STRESSED CONCRETE,16,D,3.0
19B81A0119,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,17,C,3.0
19B81A0120,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,3,F,0.0
19B81A0120,R1932012,WATER RESOURCES ENGINEERING-II,14,F,0.0
19B81A0120,R1932013,GEOTECHNICAL ENGINEERING-I,18,F,0.0
19B81A0120,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,18,F,0.0
19B81A0120,R1932015,CAD LAB,17,A,1.5
19B81A0120,R1932016,ENVIRONMENTAL ENGINEERING LAB,15,F,0.0
19B81A0120,R1932017,SOCIALLY RELEVANT PROJECT,18,A,1.0
19B81A0120,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
